name;link;salary_min;salary_max;salary_currency
Технический директор / CTO / Senior developer (python);https://spb.hh.ru/vacancy/50447147?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;2000.0;4000.0;USD
Ведущий разработчик Machine Learning;https://spb.hh.ru/vacancy/50335142?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;250000.0;руб.
Senior ML Researcher;https://spb.hh.ru/vacancy/49383447?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;420000.0;;руб.
Senior Machine Learning Engineer;https://spb.hh.ru/vacancy/50604098?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;400000.0;руб.
Junior Data Analyst;https://spb.hh.ru/vacancy/47708671?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Quantitative Developer;https://spb.hh.ru/vacancy/50153427?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;400000.0;;руб.
Разработчик Python, VBA, Google Apps;https://spb.hh.ru/vacancy/50314472?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python-разработчик систем сбора;https://spb.hh.ru/vacancy/49299293?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;100000.0;150000.0;руб.
Senior Python developer;https://spb.hh.ru/vacancy/49412294?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;230000.0;;руб.
Python Developer (Backend);https://spb.hh.ru/vacancy/48361239?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Senior Python разработчик (Remote / Лиссабон);https://spb.hh.ru/vacancy/50212404?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;5000.0;EUR
Data Scientist;https://spb.hh.ru/vacancy/50763820?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Senior Python / Django Developer;https://spb.hh.ru/vacancy/49713776?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;250000.0;;руб.
Python developer;https://spb.hh.ru/vacancy/50765550?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Разработчик Python Junior/сценарист виртуальных ассистентов;https://spb.hh.ru/vacancy/50380398?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python/C++ разработчик (Бенчмарк инжиниринг);https://spb.hh.ru/vacancy/50687285?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;100000.0;150000.0;руб.
Backend-разработчик (python);https://spb.hh.ru/vacancy/49299511?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
PostgreSQL Senior Development Specialist;https://spb.hh.ru/vacancy/49667270?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;300000.0;400000.0;руб.
Data scientist / Product analyst;https://spb.hh.ru/vacancy/48276976?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;250000.0;руб.
Web-программист Рython;https://spb.hh.ru/vacancy/50341364?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;30000.0;50000.0;руб.
Python developer;https://spb.hh.ru/vacancy/50473284?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Программист-разработчик Python;https://spb.hh.ru/vacancy/50760060?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python Developer (BI Team);https://spb.hh.ru/vacancy/50747625?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Senior Python developer;https://spb.hh.ru/vacancy/43455147?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;250000.0;руб.
Middle Python разработчик (remote);https://spb.hh.ru/vacancy/50135230?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;180000.0;250000.0;руб.
Back End middle разработчик;https://spb.hh.ru/vacancy/50342119?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;800000.0;;KZT
Разработчик Python(R&D);https://spb.hh.ru/vacancy/43558725?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python Developer middle (удаленно);https://spb.hh.ru/vacancy/50188069?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;250000.0;руб.
Дата-аналитик / Дата-инженер / ETL разработчик;https://spb.hh.ru/vacancy/50432286?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;80000.0;120000.0;руб.
Middle Рython web-developer (Django/Flask);https://spb.hh.ru/vacancy/50242707?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;70000.0;130000.0;руб.
Data Engineer;https://spb.hh.ru/vacancy/49255493?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;3000.0;;USD
Python Разработчик BACKEND (Программист);https://spb.hh.ru/vacancy/50347394?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;50000.0;;руб.
Python-разработчик систем сбора;https://spb.hh.ru/vacancy/48504803?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;100000.0;150000.0;руб.
Python developer;https://spb.hh.ru/vacancy/50410172?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Программист Python/Backend разработчик Python;https://spb.hh.ru/vacancy/49794700?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;250000.0;руб.
ML/DS инженер (CV);https://spb.hh.ru/vacancy/49753760?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Middle Python developer;https://spb.hh.ru/vacancy/50290613?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
